,Job_Title,Company_Name,Location,Compensation,Job_ID,Job_Description,Employment_Type,Pay_Type,Pay_Rate,Store_Type,Other_Compensation,Link,Python,R ,Matlab,Excel,SAS,SQL,SPSS,Hadoop,Spark,Algebra,Statistic,Mathematics,Reinforcement_Learning,Deep_Learning,Machine_Learning,Data_Visualization,Keras,TensorFlow,Artificial_Intelligence,Communications,Team_Player,Empathy,Emotional_Intellect,Self_Improvement,Presentation,Critical_Thinking,Business_Understanding
0,Senior-Data-Scientist,Robert Half Technology,TX - Fort Worth,N/A,04030-0011057821,"Ref ID: 04030-0011057821Classification: Data ScientistCompensation: DOERobert Half Technology is looking for a Senior Data Scientist. This Senior Data Scientist is a direct hire, FTE (Full Time Employment) position with one of our client companies in the DFW area. For immediate and confidential consideration on this Permanent / Direct hire IT opportunity, please e-mail your resume confidentially to [Click Here to Email Your Resumé] (profile also on LinkedIn.) Summary-Are you motivated to contribute to the digital transformation of a successful company? This is a unique opportunity to be at the forefront of using decision sciences and implement your solutions in production and have an impact on the business. As a deep domain expert, you will work on great projects and develop applications that will contribute to the value our client delivers to its customers. You should hold an MS or a PHD with a major in operations research, applied statistics, computer science or machine learning.The Senior Data Scientist will design, develop and implement valuable business solutions for the organization by preparing and cleaning data, designing and coding decision support systems and measuring performance of the recommended decisions. These applications will identify business trends and opportunities using advanced decision science. The candidate will interpret data from multiple sources using a variety of statistical and complex data mining techniques in order to provide guidance to the business and contribute to the value our client delivers to its customers.Primary Responsibilities- -Design and develop decision support systems from the ground up that will improve business effectiveness and performance.-Analyze and interpret results from multiple sources using a variety of techniques, ranging from simple data clustering to more advanced classification problem using supervised learning techniques with cross validation.-Prepare big data, implements data models and develops database to support the business solutions.-Coordinate and communicating effectively across diverse functional teams (business leaders and technical teams) the applied logic as well as the data and the information used.-Prepare high-level and detail-level project plans and ensure that each project objective is being completed within the agreed upon deadlines.                  Required Skills & Experience--Master’s Degree in applied statistics, computer science, or related field of study required. Minimum of three years work experience in a big data environment.-Hands-on technical and functional experience in building predictive modeling, decision support systems and datamining analysis in a big data environment-Experience in software engineering-Deep knowledge of Python programming, Python libraries such as Pandas, NumPy, Scipy, PyBrain, etc-Solid experienced with SQL and writing procedures-Knowledge of R programming and prototyping-Knowledge of Operations Research and decision sciences with the following:-Forecasting (Consumer Choice Modeling (Logit regression), time series, ANOVA, etc.)-Segmentation models (CART, random forest, decision tree, etc.)-Machine learning and deep learning (reinforcement learning)-Pricing analytics and revenue management (dynamic pricing, revenue optimization, price testing, etc.)-Experience in problem solving and delivering workable solutions-Team player who enjoys working in a collaborative, agile environment-Good communication skills with the ability to explain the significance of data in a way that can be easily understood by others-Strong attention to detail, proficient organizational skills-Very high initiative and drive for organizational successFor immediate and confidential consideration on this Permanent / Direct hire IT opportunity, please e-mail your resume confidentially to [Click Here to Email Your Resumé] (profile also on LinkedIn.)Technology doesn't change the world. People do. As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agencies The intersection of technology and people — it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched. Apply for this job now or contact our branch office at 888-490-4429 to learn more about this position. All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada. © 2019 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans. By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.Location US-TX-Fort WorthEmployment Type Full-TimePay Type YearPay Rate N/AStore Type Engineering,  Information Technology,  DesignOther Compensation: DOE",Full-Time,Year,N/A,"Engineering,  Information Technology,  Design",DOE,https://www.headhunter.com/jobs/Senior-Data-Scientist/J3N61M605D08SG4PV0C,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
1,Sr--Data-Engineer,Robert Half Technology,NJ - Princeton,N/A,02720-0011260365,"Ref ID: 02720-0011260365Classification: Sr. Software EngineerCompensation: DOERESPONSIBILITIES:•Establish standard and guidelines related to database architecture, data storage, reporting, dashboards, ETL and Business Intelligence as used in our applications•Build data pipelines and complex engineering required to sustainably source data into a cloud environment•Collaborate with our organizations to source data and interoperate with existing systems•Be the technical point of contact for external parties for data related projects•Work across the organization to develop new data-based capabilities in our products to increase both internal and customer valueContact [Click Here to Email Your Resumé]          •Bachelor’s Degree in Business, Computer Science, Science, or equivalent work experience.•Degree in Business Intelligence, Data Analytics or Applied Mathematics a plus•Strong engineering background, with a degree or experience in Computer Science, Computer Engineering, Data Engineering, or Data Science•Proven experience in providing solutions for data management, business intelligence or technology organizations•Experience with a common open-source data programming language, such as R, Python and/or SQLContact [Click Here to Email Your Resumé]Technology doesn't change the world. People do. As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agencies The intersection of technology and people — it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched. Apply for this job now or contact our branch office at 888-490-4429 to learn more about this position. All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada. © 2019 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans. By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.Location US-NJ-PrincetonEmployment Type Full-TimePay Type YearPay Rate N/AStore Type Engineering,  Information Technology,  DesignOther Compensation: DOE",Full-Time,Year,N/A,"Engineering,  Information Technology,  Design",DOE,https://www.headhunter.com/jobs/Sr--Data-Engineer/J3Q1YB68FNWG2M32XTG,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Senior-Data-Scientist,Robert Half Technology,NJ - Jersey City,$140k - $160k/year,02710-0011220068,"Ref ID: 02710-0011220068Classification: Data ScientistCompensation: $140000.00 to $160000.00 yearlyThe Sr Manager/Director, Data Science will be responsible for helping develop the companies data science strategy, building decision systems with machine learning and surfacing company-wide actionable insights to drive business growth. This position is ideal for someone who enjoys elevating the way decision are made and data is used at a fast-paced, consumer-facing company. A successful candidate will enjoy researching and developing statistical learning models, collaborating with various stakeholders to understand company needs / devise solutions and helping implement data driven strategies that impact business profitability. This is a multifaceted opportunity allowing the Manager to deliver unique value propositions to the companies base of clients. Duties/Responsibilities: Help define, lead and own data science strategy, including tools and team Apply artificial intelligence and machine learning techniques to solve complex problems, including customer segmentation, product propensity, operational performance and fraud Research and develop statistical frameworks to optimize product performance through A/B testing and variance analysis Lead analysis for strategic data initiatives and present findings and recommendations to executive leadership Oversee implementation of data insights into the business and ensure analytic integrity Partner with departments to resolve their data and analytical needs Manage scheduled and ad-hoc analytics/data project                  Bachelor's Degree required (Masters or PhD in quantitative discipline preferred)4+ years of relevant experience in Data ScienceHigh degree of comfort with statistical modeling, scenario analysis, working with high volumes of data and building analyses from the ground upHighly proficient in Python or R; SQL a plusExperience working with executive leadership and other internal and external partnersExperience infusing enterprise BI/dashboards/reports with DS/ML intelligence***For immediate consideration, please send an updated resume with salary requirement to [Click Here to Email Your Resumé] ***Technology doesn't change the world. People do. As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agencies The intersection of technology and people — it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched. Apply for this job now or contact our branch office at 888-490-4429 to learn more about this position. All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada. © 2019 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans. By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.Location US-NJ-Jersey CityEmployment Type Full-TimePay Type YearPay Rate $140,000.00 - $160,000.00 /YearStore Type Engineering,  Information Technology,  Design",Full-Time,Year,"$140,000.00 - $160,000.00 /Year","Engineering,  Information Technology,  Design",NA,https://www.headhunter.com/jobs/Senior-Data-Scientist/J3M0HJ6G44D9GHZ6KSW,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3,Manager-of-IT-Audit-and-Data-Analytics,Robert Half Technology,GA - Atlanta,$120k - $130k/year,00900-0011225244,"Ref ID: 00900-0011225244Classification: Sr. IT AuditorCompensation: $120000.00 to $130000.00 yearlyJOB FUNCTION: Job functions include but are not limited to the following.Assist IT management and company management by assessing IT processes and controls in order to maximize efficiencies and minimize risk.Continuously improve internal audit approaches, tools and methodologies.Set initiatives and provide guidance for data analytics projects.Develop and present data analytic engagement reports and findings to senior management.Provide direction to and support for the creation of ad-hoc/continuous monitoring reporting.Mentor and train staff on data analytic/fraud detection methodology and tools.Oversee the execution and completion of assurance-related engagements including evaluation of Service Organization Control (SOC) examinations (SSAE18, SOC Types 1, 2, 3 Reports), cyber security assessments, IT controls assessments and testing, fraud detection, internal control analysis, process documentation, development and implementation of accounting systems, selection and installation of accounting software.Identify and communicate IT audit findings to senior management and clients.Manage multiple audit projects and act as liaison between Internal Audit and IT management.Provide exceptional client service by planning, coordinating, and executing cross-functional internal audit and IT audit projects.Assist Internal Audit team with the performance of audits of financial statement elements and operations.Work with Internal Audit team members, external auditor, and IT management to develop a risk-based internal IT audit strategy that complies with professional standards, including the requirements of Sarbanes-Oxley Act section 404.Review testing of IT and operational controls to comply with internal audit and IT audit programs, including Sarbanes-Oxley.Manage audit and client expectations about deliverables, timing, and how the approach matches their needs.Benchmark Company IT processes to industry data.Participate in meetings with the IT management.Work closely with the Company's external auditor; provide appropriate support to the Company's external auditors in the performance of walkthroughs, as well as internal control/substantive testing.BACKGROUND / EXPERIENCE:8 years of relevant experience (IT, IT audit, Cyber Security, accounting, risk, regulatory, Sarbanes-Oxley, auditing, financial reporting, COSO, and/or compliance)No less than 4 years of external or internal audit experience3 or more years of data analysis experienceEDUCATION / KNOWLEDGE:Bachelors Degree (Management Information Systems, Computer Science, Accounting, Finance, Data Science etc.) requiredOne or more of the following preferred: CPA, CISA, CIA, CFE, CCEP, CISSPMBA plusBig 4 (Audit or Advisory Services), IT, Public Company Internal Audit, SOX, or Compliance experience a plusTechnology doesn't change the world. People do. As a technology staffing firm, we can't think of a more fitting mantra. We're extreme believers in technology and the incredible things it can do. But we know that behind every smart piece of software, every powerful processor, and every brilliant line of code is an even more brilliant person. Leader among IT staffing agencies The intersection of technology and people — it's where we live. Backed by more than 65 years of experience, Robert Half Technology is a leader among IT staffing agencies. Whether you're looking to hire experienced technology talent or find the best technology jobs, we are your IT expert to call. We understand not only the art of matching people, but also the science of technology. We use a proprietary matching tool that helps our staffing professionals connect just the right person to just the right job. And our network of industry connections and strategic partners remains unmatched. Apply for this job now or contact our branch office at 888-490-4429 to learn more about this position. All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada. © 2019 Robert Half Technology. An Equal Opportunity Employer M/F/Disability/Veterans. By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.Location US-GA-AtlantaEmployment Type Full-TimePay Type YearPay Rate $120,000.00 - $130,000.00 /YearStore Type Engineering,  Information Technology,  Design",Full-Time,Year,"$120,000.00 - $130,000.00 /Year","Engineering,  Information Technology,  Design",NA,https://www.headhunter.com/jobs/Manager-of-IT-Audit-and-Data-Analytics/J3S11Z6T9RXPD3MPF70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,Data-Analytics-Manager,"TEKsystems, Inc",GA - Atlanta,N/A,NA," ***** CANDIDATES MUST BE ABLE TO WORK W2 *****Our client is seeking an experienced hands-on Manager to lead the data quality and business analyst functions of our Enterprise Data Lake and data analytics architecture team. This role will be a member of the Enterprise Data team that provides enablement for advanced analytics throughout the company by efficient ingest, storage and consumption of data both manufacturing and commercial as well enables data science model management, deployment and monitoring for various customer groups. The role is focused on developing Data Quality function of our enterprise data lake and the analytics areas. Another key area is at onset of the Analytics projects, develop the capability to gather and retain requirements and documentation for the data and automation needs for the models.  MUST HAVE SKILLS1. At least 5 years' experience testing, building or running enterprise-scale data analytics solutions.2. Experience in visualization tools for BI and front ends dashboards (Tableau, Qlik, PowerBI, SAS, R, SPSS)3. Experience building Data quality and QA procedures4. Experience creating business requirements and QA documentation.About TEKsystems:We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please call 888 472-3411 or email accommodation@teksystems .com for other accommodation options.                   Location US-GA-AtlantaEmployment Type Full-TimePay Type YearPay Rate N/AStore Type Information Technology",Full-Time,Year,N/A,Information Technology,NA,https://www.headhunter.com/jobs/Data-Analytics-Manager/J3M2FR6FRKHG9GZFN1W,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,Data-Manager,"TEKsystems, Inc",VA - Roanoke,N/A,NA,"Top Skills Details1) 7+ years of IT experience working with data and data warehousing and/or as a SR. Systems Engineer. - experience with SQL, experience with ETL tools2. 2+ years experience with people management.-they will need to be able to provide performance reviews, understand team's responsibilities, providing team development and individual development by creating plans to assess team/individuals, communicating with staff and upper level management to input changes that need to be made. 3. Understanding of Cloud, preferably with AWS.Technology Services Manager of Data Warehousing, responsible for overseeing solutioning activities for data warehousing initiatives. The Manager will provide leadership of Technology Support Group staff to ensure processes and key performance indicators are achieved to provide exceptional IT Service Delivery.Maintains technology strategies by managing staff, researching and implementing technological strategic solutions. Implements and maintains the policies and goals for TSG to support my client's needs. Ensures proper information system operations and plans necessary upgrades. Directly responsible for the creation and delivery of development plans for staff to ensure the needs of the business are met. Oversees internal IT support functions.Minimum Qualifications* Education:** Bachelor's Degree in Computer Science, Information Technology, Healthcare Business or equivalent work experience required.* Experience:** Minimum of 8 years of IT experience and a minimum of 2 years of management experience including direct supervision of staff level resources.Licensure,certification, And/or RegistrationAbout TEKsystems:We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.If you would like to request a reasonable accommodation, such as the modification or adjustment of the job application process or interviewing process due to a disability, please call 888 472-3411 or email accommodation@teksystems .com for other accommodation options.                   Location US-VA-RoanokeEmployment Type Full-TimePay Type YearPay Rate N/AStore Type Information Technology",Full-Time,Year,N/A,Information Technology,NA,https://www.headhunter.com/jobs/Data-Manager/J3P8B46ZD1B072GBXK6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Sr--Data-Engineer,"TEKsystems, Inc",CA - Irvine,N/A,NA,"Our data and analytics team is on a mission to re-architect and re-engineer the company's data platform by bringing the agility and scalability of the cloud. We are looking for an experienced Senior Data Engineer who is passionate about all things data and has prior hands on experience of loading large datasets utilizing the latest cloud technology to do so. The Senior Data Engineer will be intimately familiar with Amazon Web Services, Google Cloud Platform as well as other global cloud service providers. This candidate should have strong experience with large ETL projects, evidence of experience with cloud/modern ELT architecture, Data Lake and more. Job Expectations:Build robust, scalable real time and batch data pipelines using services like AWS Glue, Amazon EMR, SSIS, Python, PySpark, many others.Provide inputs in choosing and implementing cost effective, scalable and fault tolerant solutionsWell versed with modern data platforms and stay up to date with emerging trends in data engineering field.Work directly with business teams to extract, transform, and load data from a wide variety of data sources using SQL and other technologyFamiliar with Data Virtualization TechnologyKnowledge of Master Data Management specific to ETL processes.Improve ongoing reporting and analysis processes through automation, scale and best practiceImplement data structures using best practices in data modeling, ETL/ELT processes, and SQL, as well as other technologyPassion for data in all shapes and forms Knowledge, Skills and Abilities:Required: At least 7 years of experience with building data pipelines on cloud platforms like AWS and/or GCPHands on experience with Python, Spark and Kafka to build our next gen streaming data platform, ingesting TB of data monthly. Knowledge of Snowflake, Redshift, Athena, batch and Streaming data, Timeseries, KubernetesExperience building large data lakes in the cloud.Understanding of ETL and ELT, Informatica, AWS Glue, Google Cloud Dataprep, Amazon EMR and be able to choose the right tool for the job.Attending daily sprint meetings Working closely with PM and other upstream source system teams to address production issues.SQL server and SSISEquipment Knowledge: Understanding of eCommerce, global scale networks and cloud architecture, other big data technologiesExperience Requirements:7-10+ years of Data Platform expertiseSome form of formal education (boot camp) in Computer Science, Software Development, Database or related technologies  Education Requirements: Bachelor's Degree in Computer Science is highly preferred.About TEKsystems:We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.                   Location US-CA-IrvineEmployment Type Full-TimePay Type YearPay Rate N/AStore Type Information Technology",Full-Time,Year,N/A,Information Technology,NA,https://www.headhunter.com/jobs/Sr--Data-Engineer/J3W2QX77VC8F80WYZR4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Senior-Data-Engineer,"TEKsystems, Inc",CA - Newport Beach,N/A,NA,"We are a global investment management firm with a singular focus on preserving and enhancing investors' assets. We manage investments for institutions, financial advisors and individuals, helping millions of people around the world meet their financial goals. Our headquarters is located in Newport Beach, a beach community in the heart of Orange County, California. Your life here brings you to famous beaches, world class surfing, unparalleled hiking and biking terrain and close proximity to West powder in the winter. For families, Orange County offers some of the best schools and safest cities in the country, with 278 sunny days per year.  Our technology powers the firm's global trading platform. We employ sophisticated and cutting edge technology tools that support our core investment management strategy.You will join a dynamic, constantly evolving global firm that pushes you to grow, lead and innovate. You will be client- focused and work on technologies that will be put to immediate use. You will be part of a team whose members are encouraged to speak up with an idea or challenge existing views, regardless of title or tenure. You will have the opportunity to receive competitive compensation and other attractive benefits (Please see below).Our Technology Team is organized in small, focused, agile groups, that either work closely with business units to deliver value or develop core technologies that lever the product teams. Our environment fosters innovation and promotes entrepreneurial spirit, and we use top of the line tools. We recognizes the paramount role of tech now and in the future and invests in technology accordingly. Technology careers are available in Newport Beach, New York, London, Munich, Singapore and Tokyo. POSITION DESCRIPTION As a data engineer, you will be working on a number of high-profile projects that will require you to interface with key stakeholders and develop data solutions that enable insights into our clients through an evolving data architecture and drive our next generation data platform. A data engineer will meet with relevant stakeholders, understand and model data assets, and constantly identify opportunities to optimize and evolve the underlining data platform. You will work with software developers, data architects, data analysts, and data scientists to solve complex business problems. Demonstrating lifelong learning and collaboration to fill gaps in knowledge is essential. POSITION REQUIREMENTS* 5+ years of experience with building end-to-end scalable production-grade data pipelines* In-depth knowledge of data warehousing and master data management* Expertise with modern data architecture, data modeling, and data management principles* Hands-on experience with modern data pipeline technologies (Spark, Flink, Airflow, Beam, etc.)* Solid foundation in data structures, algorithms, and software design* Expertise with Relational and NoSQL databases to help teams best organize their data for analysis* Skilled in OOP design and development, preferably in Python* Advanced knowledge in writing, understanding and tuning PL/SQL and/or T-SQL* Drive modern data engineering culture at the firm* BS/BA degree in Computer Science, Engineering or related fields or equivalent experiencePREFERRED QUALIFICATIONS * Domain knowledge of Financial Services* Hands-on experience with working with Cloud technologies, including AWS* Skilled at designing and implementing ETL frameworks* Experience with CI/CD methodologies* Experience with *nix environments, including shell script developmentThe VP is comfortable with people that do not have Informatica if they come from a heavy SQL, ETL, Cloud, and Big Data background.Do not have to have experience with real-time data, but would be nice to have Prioritize candidates with Python OOP experience, but would look at candidates who have Scala We are a highly collaborative company that's driven on metric-driven solutions and are looking for a leader to proactively seek ways of improving. Make the most of your talents in a fast-paced environment driven by people who strive for achievement. Enjoy corporate strength, stability, and a rewarding career at an industry-leading and diverse operating company with a track record for success.About TEKsystems:We're partners in transformation. We help clients activate ideas and solutions to take advantage of a new world of opportunity. We are a team of 80,000 strong, working with over 6,000 clients, including 80% of the Fortune 500, across North America, Europe and Asia. As an industry leader in Full-Stack Technology Services, Talent Services, and real-world application, we work with progressive leaders to drive change. That's the power of true partnership. TEKsystems is an Allegis Group company.                   Location US-CA-Newport BeachEmployment Type Full-TimePay Type YearPay Rate N/AStore Type Information Technology",Full-Time,Year,N/A,Information Technology,NA,https://www.headhunter.com/jobs/Senior-Data-Engineer/J3N2BM77MJY8XMZ8VH6,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Director--Analytics,Robert Half Finance & Accounting U.S,IL - Chicago,N/A,01300-0011033837,"Ref ID: 01300-0011033837Classification: Sr. Financial AnalystCompensation: DOENewly created role at a leading retail mortgage lender headquartered in Chicago!To apply for this Director, Analytics role, email your resume to [Click Here to Email Your Resumé]. In the subject line, type 'Director, Analytics.'Responsibilities: •Establish a framework that promotes accurate, precise, and useful data products that align with the strategic business needs of key stakeholders•Partner with the Company's data group to transform the Company's data analytics platform.•Mentor and develop team of 3 analysts. •Advanced ability to derive insights. This role is not focused solely on reporting. This role needs to help give direction on what to do, so candidates should be able to extrapolate the opportunities/insights from the data instead of just play back the data                  •Undergraduate or graduate degree in Computer Science, Data Science, or related field.•Must be proficient in the use and maintenance of Tableau Server and Tableau Desktop•Knowledge of RedShift & S3 a plus.•Proficiency with sophisticated analytics tools and programming languages (SAS, R, Python, Java, Spark, Hadoop, Alteryx, SQL); proficiency with data visualization tools (Tableau, QlikView, and others)•Experience with various types of data repositories (e.g., data warehouses, data lakes, data marts), metadata management, dimensional modeling, and ETL / integrationTo apply for this Director, Analytics role, email your resume to [Click Here to Email Your Resumé]. In the subject line, type 'Director, Analytics.'Robert Half Finance & Accounting, the world's leader in specialized financial staffing, provides exciting full-time opportunities in the areas of accounting, bookkeeping, finance, audit, taxation and more. We pioneered the professional staffing industry, and we've been successfully matching professionals with employers since 1948. Our proven proprietary processes, along with our relationships in 325 locations worldwide, allow us to provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague. Apply for this job now or contact our nearest office at 888.490.5461 for additional information. All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2019 Robert Half Finance & Accounting. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.Location US-IL-ChicagoEmployment Type Full-TimePay Type YearPay Rate N/AStore Type Accounting,  FinanceOther Compensation: DOE",Full-Time,Year,N/A,"Accounting,  Finance",DOE,https://www.headhunter.com/jobs/Director--Analytics/J3R3L86W1CQ32H1M8FM,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Tax-Analyst-Manager-Director,Robert Half Finance & Accounting U.S,IL - Chicago,N/A,01300-0011228972,"Ref ID: 01300-0011228972Classification: Tax Analyst/Manager/DirectorCompensation: DOETax AnalystJob DescriptionLSC Communications is a $4.0B Company with over 20,000 employees worldwide that serves the needs of Publishers, Merchandisers, and Retailers with innovative product, service and technology offerings that combine print, e-services, warehousing, fulfillment and supply chain management to increase speed to market, reduce costs, and improve efficiencies. Position Summary: The Corporate Tax team is seeking a Tax Analyst to help support the sales and property tax function including coordinating with the tax compliance team relating to monthly / annual tax filings and interfacing with corporate business units providing support with various tax inquiries. Key Responsibilities: •Coordinate with other tax department members to support broad range of sales/use and property tax issue’s including compiling data for tax compliance, analyzing data for completeness and transmitting the data to the compliance group in order to file the companies returns in a timely manner. •Work closely with tax consultants on tax compliance engagements. •Provide guidance for all divisions in the handling of their various tax related transactions including their sales of products and services to customers, purchases or various items etc. •Verify the accuracy of the general ledger sales and property tax accounts, prepare monthly tax journal entries and reconcile the tax accounts for changes in activity and recommend true-up as necessary.•Assist with the management of customer exemption certificate’s including reviewing for completeness, making the determination if the certificate supports the tax exemption being applied and applying the exemption to customer’s account when accepted. •Assist with tax audits, including gathering of data to present to tax jurisdiction auditors, communicating with company business units to understand various types of transactions, and support incoming inquiries from tax auditors. •Research and document various tax issues associated with the print and logistics business lines and maintain company tax systems to keep with in compliance and updated for changes to tax laws and policies. •Special projects as needed. Required SkillsThe duties and responsibilities described above are the essential functions of the job. The qualifications below are representative of the knowledge, skills, and/or abilities required, Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Qualifications:•Bachelors of Science in Accounting or Finance•One or two years of multi-state experience working directly with indirect tax issues either in a corporate and/or a public accounting firm. Specific knowledge with the print and logistics industry a plus •Knowledge of SAP preferred•Strong analytical skills•Strong communication skills                  Sales TaxRobert Half Finance & Accounting, the world's leader in specialized financial staffing, provides exciting full-time opportunities in the areas of accounting, bookkeeping, finance, audit, taxation and more. We pioneered the professional staffing industry, and we've been successfully matching professionals with employers since 1948. Our proven proprietary processes, along with our relationships in 325 locations worldwide, allow us to provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company has appeared on Fortune® magazine’s list of “World's Most Admired Companies” since 1998, and 9 out of 10 of our customers would recommend our service to a colleague. Apply for this job now or contact our nearest office at 888.490.5461 for additional information. All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada.© 2019 Robert Half Finance & Accounting. An Equal Opportunity Employer M/F/Disability/Veterans.By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use.Location US-IL-ChicagoEmployment Type Full-TimePay Type YearPay Rate N/AStore Type Accounting,  FinanceOther Compensation: DOE",Full-Time,Year,N/A,"Accounting,  Finance",DOE,https://www.headhunter.com/jobs/Tax-Analyst-Manager-Director/J3W2GX73DG4MDBLBPJD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
