,Job_Title,Company_Name,Location,Job_ID,Job_Description,Link,Compensation,Python,R ,Matlab,Excel,SAS,SQL,SPSS,Hadoop,Spark,Algebra,Statistic,Mathematics,Reinforcement_Learning,Deep_Learning,Machine_Learning,Data_Visualization,Keras,TensorFlow,Artificial_Intelligence,Communications,Team_Player,Empathy,Emotional_Intellect,Self_Improvement,Presentation,Critical_Thinking,Business_Understanding
0,Principal Data Scientist (Facilities Analytics),Northrop Grumman,"Redondo Beach, CA 90278",58367067-6657-41c9-abb6-46a6aefdf6eb,"
 At Northrop Grumman we develop cutting-edge technology that preserves freedom and advances human discovery. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We continue to innovate with developments from launching the first commercial flight to space, to discovering the early beginnings of the universe. Our employees are not only part of history, they're making history. Northrop Grumman Aerospace Systems is seeking a Principal Data Scientist (Facilities Analytics) to join our facilities team of qualified, diverse individuals. This position will be located in Redondo Beach, CA. In this role, the selected candidate will:  Identify valuable data sources and automate collection processes as well as develop data mining and modeling plans. Describe, explore, and verify data quality.  Select, clean, construct, integrate, and format data.  Analyze large amounts of information to discover trends and patterns as well as to identify risks.  Select modeling techniques and develop visualizations of model results.  Collaborate with facilities engineering, projects, and maintenance teams to propose solutions and strategies to business challenges.  Performs data consolidation, cleansing and analysis, and presents data from one or more source systems.  Provide analysis and develops information papers, presentations, and other correspondence as required, including monthly presentations with internal and external stakeholders.  Apply operations research, statistical, mathematical, and analytical techniques related to Facilities Maintenance and Construction Projects.  Support the Facilities Reliability and Infrastructure Optimization department as required.Basic Qualifications:    Minimum of a bachelor's degree in Science, Technology, Engineering, or Math (STEM) field and five (5) years of data science / statistical analysis experience OR a master's degree in Science, Technology, Engineering, or Math (STEM) field and three (3) years of data science / statistical analysis experience.    Experience with mining, analyzing, and presenting data from a variety of sources.    Demonstrated experience using strong statistical and data visualization skills.    Proven ability to work under only general direction and independently determine and develop approaches to solutions. Work is reviewed upon completion for adequacy in meeting objectives.    Experience communicating requirements and working with internal and external customers to coordinate issues associated with specific projects/tasks.    Ability to obtain and maintain a security clearance (DoD TS/SCI with SSBI).    Demonstrated experience using business intelligence tools (example Tableau) and data frameworks.    Proficient in Microsoft Office.    Preferred Qualifications:    Current top secret clearance.     Aerospace industry experience.     Familiarity briefing senior level management and executive leadership.     Experience with modeling and simulations.     Ability to comprehend and analyze complex problems.    Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions. ",https://job-openings.monster.com/principal-data-scientist-facilities-analytics-redondo-beach-ca-us-northrop-grumman/58367067-6657-41c9-abb6-46a6aefdf6eb,NA,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,Senior Data Scientist,CenturyLink,"BROOMFIELD, CO 80021",48489091-bfd0-4b0a-b07d-0e8b11d9f014,"
About CenturyLinkCenturyLink (NYSE: CTL) is the second largest U.S. communications provider to global enterprise customers. With customers in more than 60 countries and an intense focus on the customer experience, CenturyLink strives to be the world’s best networking company by solving customers’ increased demand for reliable and secure connections. The company also serves as its customers’ trusted partner, helping them manage increased network and IT complexity and providing managed network and cyber security solutions that help protect their business. Job Summary
The Data Scientist is a highly skilled individual contributor, under minimal supervision, who designs and develops programs, methods, processes, and systems to consolidate and analyze diverse, structured and unstructured “big data” sources to generate actionable insights and solutions using machine learning and advanced analytics.  Interprets and communicates insights and findings from analyses and experiments to other analysts, data scientists, and team members.Job Description
The Data Scientist proactively identifies meaningful insights by executing data discovery, exploratory data analysis, and iteratively developing predictive and prescriptive models to identify optimal solutions. This position will also assist with operationalizing the insights and solutions and changing business processes to maximize the value of those solutions.Analyze data and build predictive and prescriptive models in the areas of capacity planning, anomaly detection, predictive asset failure/maintenance, workload optimization, customer segmentation and business performance.Mine information for previously unknown patterns and insights hidden in these assets and leverage them for competitive advantage.The problems this position will solve will be at the cutting edge of technology and will lie at the intersection of science, engineering and business acumen.Qualifications
Specific Skills Required (Must have Skills):• Bachelor's Degree in Math, Computer Science, Data Mining, Machine Learning, Statistics or other quantitative discipline. Master's Degree preferred.• Experienced in writing formulas, expressions and algorithms as needed to support analytical work.• Understands data automation and how to best construct backend database environments and front end visualization for efficiency and recurring use.• Strong communication skills and relationship skills.• Ability to perform ad-hoc statistical analysis including correlation analysis, frequency distribution analysis, probabilistic modeling, sophisticated forecasting, and academic based predictive and prescriptive methods.• Capable of modeling the relationships between many sources of operational data, develop models that can serve to provide insight to support operational management, system optimization, dispatch system configurations and executive support for decision making.• Ability to write customized algorithms to drive predictive and prescriptive analysis in business management, creating actionable recommendations to improve Field Operations.• Ability to logically construct back end data base architecture that can support a growing system of analytical visualization in a Qliksense BI, and analytical decision-making engines.• Can be flexible to work on various types of projects, often balancing multiple deliverables with a wide range of complexity requirements.• Is comfortable working with teams, sharing code among peers, and presenting to leadership. • Has a genuine drive to succeed and self-motivated to “take care of business”, while positively representing the team.• Experience with SQL, database navigation in an Oracle data environment and Data Lake unstructured environments.• Python and/or R data script writing.• 3 + years' experience delivering Machine Learning and Advanced Analytics solutions.Alternate Location: US-Colorado-Broomfield; US-Colorado-LittletonRequisition #: 215691 This job may require successful completion of an online assessment. A brief description of the assessments can be viewed on our website at http://find.centurylink.jobs/testguides/ EEO StatementWe are committed to providing equal employment opportunities to all persons regardless of race, color, ancestry, citizenship, national origin, religion, veteran status, disability, genetic characteristic or information, age, gender, sexual orientation, gender identity, marital status, family status, pregnancy, or other legally protected status (collectively, “protected statuses”).  We do not tolerate unlawful discrimination in any employment decisions, including recruiting, hiring, compensation, promotion, benefits, discipline, termination, job assignments or training.DisclaimerThe above job definition information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.  Job duties and responsibilities are subject to change based on changing business needs and conditions. ",https://job-openings.monster.com/senior-data-scientist-broomfield-co-us-centurylink/48489091-bfd0-4b0a-b07d-0e8b11d9f014,NA,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
2,Data Scientist,LRS,"Maryland Heights, MO",6c688631-a3d3-4044-a2a7-4ecfb69f4be6,"
Our client is in need of a Data Scientist. This is a 6 month right to hire opportunity in St. Louis, MO. If you’re that person, submit your resume now!LRS Consulting Services has been delivering the highest quality consultants to our clients since 1979. We've built a solid reputation for dealing with our clients and our consultants with honesty, integrity, and respect. We work hard every day to maintain that reputation, and we're very interested in candidates who can help us. If you're that candidate, this opportunity is made for you!Our client is seeking a Data Scientist who will be responsible for:Connecting data points and helping draw analytical insights from disparate data sources and on pieces of information that may or may not be connected today.  They should have a background in statistics, and/or visual data displays, and/or general data science.Qualifications:-5 years’ experience as a Data Analyst or Data Scientist-Experience with predictive analytics-Candidate must be able to effectively communicate in English (written & verbal) To apply go to jobs.lrs.com. LRS is an equal opportunity employer. Applicants for employment will receive consideration without unlawful discrimination based on race, color, religion, creed, national origin, sex, age, disability, marital status, gender identity, domestic partner status, sexual orientation, genetic information, citizenship status or protected veteran status.  Optional Skills:-Understanding of predictive analytics techniques leveraging machine learning algorithms-Past experience with Tableau, Spotfire, or similar preferred-Experience with Alteryx or similar a plus-Ability to explain insights uncovered from analyses-Background in statistics a plus-sql, r, matlab, etc a plus-experience with Hadoop Hive a plus ",https://job-openings.monster.com/data-scientist-maryland-heights-mo-us-lrs/6c688631-a3d3-4044-a2a7-4ecfb69f4be6,NA,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Chief Data Scientist,Booz Allen Hamilton,"Alexandria, VA",11fb8116-487b-45d7-bb29-c5284a467934,"
Job Number: R0024324Chief Data ScientistKey Role:Serve as a senior technical leader of a data science and machine intelligence team, leveraging expertise with consulting to define business problems, work with and manipulate data, develop data science and machine learning algorithms and solutions, and develop machine learning models into production environments. Work across client sets to address business challenges, perform analysis, and explain the analysis to senior clients. Lead the identification of opportunities to apply knowledge and expertise of deep learning technologies to develop prototypes and analytic models to challenges with new and existing clients through the application of new, innovative capabilities. Lead and support engagements across government clients. Provide thought leadership, drive business growth within the market, and develop and maintain client relationships. Take an active role in the development, mentoring, and coaching of the team, work actively to enhance the diversity of the firm, and play a lead role in attracting, developing, and retaining talent.Basic Qualifications-10+ years of experience with designing, developing, and leading analytics or software development projects in Java, Scala, or other high-level languages-10 years of experience with program management in the IC-Experience with managing national intelligence programs-Experience in the application of data science and machine learning algorithms, including structured, unstructured, or relational and data mining and machine learning techniques-Experience with developing and mentoring staff at all levels and building an internal capacity to deliver high quality and highly innovative analytics services-Experience with developing and implementing successful market strategy and business development and leading proposal, project, and intellectual capital creation-Ability to manage programs with competing priorities-Active Top Secret clearance-BA or BS degree requiredAdditional Qualifications-Experience with developing analytics for geospatial and commercial imagery data-Experience with developing and driving cross-cutting capabilities or solutions-Experience with deep learning frameworks, including Theano, Torch, Caffe, or AWS Rekognition-Experience with Natural Language Processing toolkits, including Stanford NLP or OpenNLP-Experience with business development and leading proposal, project, and intellectual capital creation-Ability to be well-versed in modern software development techniques, methods, and technologies-MS degree in Computer Science, Mathematics, or Physics preferred; PhD degree in Computer Science, Mathematics, or Physics a plusClearanceApplicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Top Secret clearance is required.We're an EOE that empowers our people-no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic-to fearlessly drive change.            ",https://job-openings.monster.com/chief-data-scientist-alexandria-va-us-booz-allen-hamilton/11fb8116-487b-45d7-bb29-c5284a467934,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Data Scientist,CBTS a Cincinnati Bell Company,"Cincinnati, OH 45202",206896014,"
CBTS is seeking a Senior Data Scientist to join our team. The initial focus of the role will be data classification (mining, analytics) for all of our internal business lines, eventually solving and transforming intensive man hour business problems into on-demand solutions through machine learning and analytics Candidates should have at minimum their Master’s degree but preferably their Doctorate as a Data Scientist.  Candidates should be thoroughly experienced in all areas of data analysis: advisory, strategy and implementation, including experience with business intelligence tools. To be clear, we are not looking for a Business Analyst, or someone that just knows how to utilize business intelligence tools, or just has experience with business intelligent reporting (although, those skill sets are required for this data analyst role). Nor are we seeking data analyst candidates from academia—candidates should come from a strong Data Analyst/Data Scientist background in IT.Of the required experience listed in the attached job description, the following are our top mandatory requirements: The candidate should have 6+ years of experience in data mining, data classification and data analytics including using BI tools and technologies (we won’t consider anyone with less than 6 years of experience (no exceptions)*—8 or more years is preferred.Experience with and knowledge of data warehouse and OLAP principlesQualitative & Quantitative Market Research, Analytical techniques, Statistical modeling, Analytical technology, Data interpretation / insight analysis, Data visualization, Insight storytelling, Desk research, Programming (Python, SQL, R or other), Quality assurance and testing.Proven working experience as a data scientist and business intelligence analystTechnical expertise regarding data models, database design development, data mining and segmentation techniquesThe person needs an ability to share and communicate ideas verbally, both orally and in writing, to executive staff, business sponsors, and technical resources in clear concise language that is the parlance of each group.This person will take the guesswork out of business decisions and help the entire organization thrive.The data analyst must be an effective bridge between different teams by analyzing new data, combining different reports, and translating the outcomes.The person will work in teams addressing statistical, machine learning and data understanding problems in multiple business environments.In this role, they will contribute to the development and deployment of modern machine learning, operational research, semantic analysis, and statistical methods for finding structure in large data sets.6-8 years of experience in data mining, data classification and data analytics including using BI tools and technologies (Microsoft Power BI, Tableau, IBM Cognos Analytics, SiSense, Qlik, Birst, Google Analytics, etc)Experience with and knowledge of Azure SQL Server and Traditional SQL Server data warehouse and OLAP principlesQualitative & Quantitative Market Research, Analytical techniques, Statistical modeling, Analytical technology, Data interpretation / insight analysis, Data visualization, Insight storytelling, Desk research, Programming (Python, SQL, R or other), Quality assurance and testing.Proven working experience as a data analyst and business intelligence analystTechnical expertise regarding data models, database design development, data mining and segmentation techniquesKnowledge of statistics and experience using statistical packages for analyzing data sets (Excel, SPSS, SAS etc.)Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, JavaScript, or ETL frameworks)Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyAdept at queries, report writing and presenting findings Job DescriptionTechnical Skills: Use complex computer programs to mine data sources and look for trends.Analytical Skills: Determine what data trends mean. Being able to analyze the data is crucial.Using descriptive statistics to get a big-picture view of their data.Creating visualizations and dashboards to help the company interpret and make decisions with the data.Presenting the results of a technical analysis to business clients or internal teams.Evaluating statistical models to determine the validity of analyses.Using data science and machine learning to build better predictive algorithms.Using Artificial intelligence to interpret events, support and automate decisions, and to take actionsAbility to work in all levels and components of Azure SQL Server and traditional Data Warehouses consisting of ODS, Data Marts, Data Lakes and Data Warehouses.Testing and continuously improving the accuracy of machine learning models.Building data visualizations to summarize the conclusion of an advanced analysis.Integrating external or new data sets into existing data pipelines.Applying feature transformations for machine learning models on new data.Continuously monitoring and testing the system to ensure optimized performance. Preferred ExperienceDemonstrated awareness of feature extraction and real-time analytics methodsDemonstrated awareness of analytic prototyping, analytic scale-up, analytic scaling, and solutions integrationDemonstrated skill in the use of one or more analytic software tools or languages (e.g., SAS, SPSS, R, Python)Demonstrated skill in the use of one or more data mining tools/frameworks/languagesDemonstrated skill in the use of one or more data classification tools/frameworks/languagesDemonstrated skill at data cleansing, data quality assessment, and using analytics for data assessmentDemonstrated skill in the use of applied analytics, descriptive statistics, and predictive analytics on industrial data sets EDUCATION:Master’s Degree in a STEM major (Science, Technology, Engineering, Mathematics) but PhD is Preferred Cincinnati Bell Technology Solutions provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, genetic information, marital status, amnesty, or status as a protected veteran in accordance with applicable federal, state and local laws  ",https://job-openings.monster.com/data-scientist-cincinnati-oh-us-cbts-a-cincinnati-bell-company/206896014,"$110,000.00 - $145,000.00  /yearBonuses and Full Benefits",1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
5,Lead Data Scientist,Sezzle,"MINNEAPOLIS, MN 55401",213014027,"
TITLE: Lead Data ScientistDUTIES: Lead a team of data scientists and lead machine learning/data analysis projects. Partner cross-functionally with product and finance teams to drive strategy & optimize tactics related to risk and credit decisions. Use statistical and technology-based techniques to design a consumer debt and credit risk model to address business needs. Implement a model to recognize fraud case patterns & develop strategies to eliminate them. Identify process bottlenecks using data analysis skills and provide solutions. Use data visualization tools to facilitate performance assessment procedure and decision-making for firm employees who are not data specialists. Analyze and interpret impact of credit and risk strategies in line with broader corporate goals. Sales, net loss, revenue and growth projection through mathematical modeling and Monte Carlo simulation. Mentor and teach junior data scientists in deep learning methodologies based on project requirements.REQUIREMENTS: M.S. in Financial Mathematics or Statistics or foreign degree equivalent. Programming Languages: Python, C#, Golang, MATLAB; DB & Management Skills: MySQL, PostgreSQL, Prometheus SQL, Amazon Redshift, Object and Relational DB; Machine/Deep Learning Skills: Supervised & Unsupervised Learning, SVM, Pattern Recognition, Dimensionality Reduction, Reinforcement Learning, Convolutional Neural Networks, TensorFlow, Anomaly Detection, Optimization Algorithms, Monte Carlo Simulation; Business Intel Tools: Amazon Quicksight, Apache Superset, Grafana, Tableau. Demonstrate required skills through satisfactory completion of academic course work or project completion in graduate level program. Must complete “Data and Development” challenge during interview process to prove technical skills and abilities. The challenge should be completed within 2 hours using Python Jupyter notebook.SALARY: $95,000/yearHOURS: 40 hrs/week, M - F ",https://job-openings.monster.com/lead-data-scientist-minneapolis-mn-us-sezzle/213014027,"$95,000.00 - $95,000.00  /year",1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
6,Financial Data Scientist,Apex Systems,"Plano, TX",213793812,"
 Job Description Job #:  1016880We are currently looking for multiple risk-minded data scientists for a large financial client in the Charlotte area. They are building out a new team and looking to move quickly. This is a contract to hire position so we are only able to work on W2 basis. Please send your resume to bcross@apexsystems.com   if you are interested.  The Data Scientist will be responsible in assessing AI (Artificial Intelligence) solutions implemented across the company (built internally or externally) to identify any risks which may have unintended consequences. Thereby, assisting this company to follow principles of Responsible AI (Fairness/Equality/Justice, Privacy, Transparency etc).• Review, critical assessment and challenge of models on conceptual soundness, assumptions and limitations, data, developmental evidence in support of modeling choices, performance, implementation and documentation;• Understand the core methodology in AI solutions and the context in which it will be deployed so as to find risks/gaps• Develop efficient methodologies to detect and to quantify risks/gaps in AI solutions• Suggest alternative approaches or controls to mitigate risks/gaps identified• Develop and implement testing plans and testing code in order to challenge models through empirical analyses and to verify model implementation• Create metrics to quantify risks/gaps specific to each AI solution and define thresholds after consulting with all stakeholders• Monitor metrics for breach of thresholds• Look for unexpected risks / unintended consequences of an AI solution over its life cycle• Write technical reports for distribution and presentation to model developers, senior management, and auditRequirements:• Ph.D/Masters/Bachelors degree in a quantitative field such as Mathematics, Physics, Finance, Engineering or Statistics.• 7- 10 years of professional experience as a Data Scientist or related roles.• Experience with Statistical Modeling/Machine Learning/Deep Learning techniques.• Background in one of these functions of Audit/ Model Risk Management/ Legal/Compliance is must.• Knowledge of financial instruments and financial risk management principles.• Knowledge of financial instruments and financial risk management principles is must.• Ability to understand and implement techniques discussed in AI research papers (academic and technical)• Candidates must have any of financial certifications like CFA, FRM (at least level 1/part 1 should have been cleared).• MBA is not must but preferred.        EEO EmployerApex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 844-463-6178-6178. ",https://job-openings.monster.com/financial-data-scientist-plano-tx-us-apex-systems/213793812,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
7,SENIOR DATA SCIENTIST III w/MOBILE/CONSUMER FACING PRODUCTS*APPS!,AppleOne,"San Francisco, CA 94116",213769612,"
Job Description:Salary: up to $250,000Location: San Francisco, Job Title: Sr. Data ScientistJob Headline: Senior Data Scientist ? Mobile App Industry!!! About Us:Live experiences help people cross today?s digital divide and focus on what truly connects us - the here, the now, the once-in-a-lifetime moment that brings us together. To fulfill our vision to unite the world through shared experiences, we deliver fans an extraordinary experience for discovering and purchasing last-minute tickets to live events.With platforms on iOS, Android, mobile web and desktop supporting more than 25,000 events across the US and Canada, we are reimagining the event ticket experience in a mobile-first world.The Role:We are looking for an experienced data scientist to work cross-functionally with our team of data engineers and analysts. As a Data Scientist, you will tackle problems throughout the company, assisting various functions to solve business-critical issues. Our stack utilizes a spark streaming architecture at its core with airflow and MLFlow to deploy models.  The ideal candidate will be a curious self-starter that is able to thrive in a fast-paced environment and able to adapt to changes within the business and the industry.What you'll do:-	Identify and implement improvements using machine learning across multiple apps including but not limited to pricing, recommendations, curation, classification, and a wide variety of complex and interesting problems-	Collaborate with a team of data engineers, data scientists, and analysts-	Use statistics to analyze A/B test results and propose next stepsOur ideal candidate:-	Experience with Mobile/Consumer Facing Products *APPS, APPS, and more APPS-	BS in Computer Science, Engineering, Economics, Math or similar (MS or Ph.D. is a plus)-	Professional experience with common data science toolkits, such as Python or R-	Experience with Spark and the associated machine learning libraries-	Understanding of machine learning techniques and algorithms including regressions, decision trees, clustering, and neural networks-	Proficiency in using query languages such as SQL-	Data-oriented personality with good scripting and/or programming skillsWhat we can offer:-	Flexible PTO-	Competitive SF Bay Area comp package-	Medical, dental, & vision insurance-	Life insurance and disability benefits-	401K, HSA, pre-tax savings programs-	Monthly commuter, cell phone, and Friday lunch subsidies-	Monthly credits for events ($1,200/yr)-	New equipment and multi-monitor setup provided-	Company catered lunches (M-Thu)-	Snacks, drinks, company outingsHiring Managers are ready to interview you now!  Apply and ask for Paul immediately!   We are an Equal Employment Opportunity employer committed to excellence, diversity and inclusion.  Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records. You can view all of our jobs online at  http://www.appleone.com/?sc=11&id=1398764 Job Experience:, ",https://job-openings.monster.com/senior-data-scientist-iii-w-mobile-consumer-facing-products-apps-san-francisco-ca-us-appleone/213769612,"up to $25,000.00  /year",1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Data Scientist,Eagle Ray,"Bolling AFB, DC 20032",213035083,"
OverviewWe are currently seeking a Data Scientist to oversee and manage complex, state of the art, new unique programs and projects related to information technology.ResponsibilitiesDevelop and presents issues, conclusions, and recommendations to senior leadership based on reviews and evaluations.Directs and conducts analysis of requirements pertaining to Agency programs and objectives.Examines policies to identify those affecting programs and determines approaches to resolving issuesIdentify problem areas, define the nature and scope of the problem and objectives sought.Work with a team to design, implement, and maintain new systems.Provide guidance to the customer on best-practices.Perform other duties as assigned.QualificationsMust have an active/current TS/SCI and be able to pass a CI Poly.Approximately 10 years of experience in information systems development, focused on processing large volume, near-real time data feeds to meet data analytics and security requirements.Experience and knowledge of tools associated with multiple intelligence missions.Bachelor’s Degree in computer science, information systems management, mathematics, engineering, or other relevant discipline.Knowledge of web services feedsDemonstrated work experience in architecting new system solutions using current technologies, as well as transitioning existing systems into modern technologies without negatively impacting operational and compliance requirements.Demonstrated experience performing data assessment, data engineering, modeling and analytics to enable new methodologies for end user analysts, data scientists, etc.Demonstrated experience as a SME to prioritize and meet tactical and strategic requirements for frameworks and systems to process data.Demonstrated experience in information systems development across the IT lifecycle, with a focus on systems to perform high volume and velocity data processing on disparate data types/formats.Demonstrated experience architecting and delivering automated and scalable data process monitoring and data quality systems and processes.Must be a diverse thinker and be able to work in a large group setting.Write and edit technical documents and reports;Write, edit, and produce contents for contract deliverables: reports, training materials, presentation slides, letters, fact sheets, diagrams, and capability statements.Effectively communicate project expectations to team members and stakeholders in a timely and clear fashion.Communicate formally and informally through existing forums to stakeholders at all levels, including senior leadership.AWS, Atlassian Suite products like Jira/Confluence and AWS Cloud experience desired.Travel Requirements:Travel may be required both inside and outside the Washington National Capital Region (NCR). Equal Opportunity Employer/M/F/Disability/Vet/Sexual Orientation/Gender Identity ",https://job-openings.monster.com/data-scientist-bolling-afb-dc-us-eagle-ray/213035083,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
9,Data Scientist,Eiden Systems Corporation,"Suitland, MD 20746",213788210,"
Eiden Systems Corporation is currently looking for a Data Scientist to support work with the US Navy located in Suitland, MD.  We are looking for a key player to work with a small data science team.  The ideal candidate will have hands on experience developing solutions for complex data science problems using Python, R, Hadoop and Greenplum.Required skills:3 years’ experience integrating data mining, conditioning, and analysis that includes the use of current data analysis software and methodsProblem solving skillsDemonstrated presentation skills for conferences, including but not limited to presenting at professional or academic conferencesBachelor’s Degree in a quantitative or technical field of study, such as Statistics, Mathematics, Computer Science, or Geospatial Information SystemsQualifications:3 years’ experience in ESRI ArcGIS3 years’ experience developing scripts, APIs, and/or programs using 1 or more of the following: C++, Java, Shell, Perl, Python3 years’ experience programming in Python, C++, R, or Interactive Data Language (IDL)1 year experience working with geospatial data or imagery data1 year experience working with database structures and query tools2 years’ experience in technical writing for analysis reportsValue added to M.S. degree or higher holderTop Secret clearance with SCI requiredESC offers a suite of excellent benefits as well as a challenging and career rewarding experience working with industry recognized leaders and technologies to deliver mission critical systems and services.Minimum physical demands for on task positions: Employee needs to be able to sit at a workstation for extended periods; use hand(s) to handle or feel objects, tools, or controls; reach with hands and arms; talk and hear. Most positions require ability to work on desktop or laptop computer for extended periods of time reading, reviewing/analyzing information, and providing recommendations, summaries and/or reports in written format. Must be able to effectively communicate with others verbally and in writing. Employee may be required to occasionally lift and/or move moderate amounts of weight, typically less than 20 pounds. Regular and predictable attendance is essential.PAY TRANSPARENCY NONDISCRIMINATION PROVISIONEiden Systems Corporation will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by Eiden Systems Corporation, or (c) consistent with Eiden’s legal duty to furnish information.  41 CFR 60-1.35(c)ESC is an equal opportunity employer and will not discriminate against any employee or applicant on the basis of age, color, disability, gender, national origin, race, religion, sexual orientation, veteran status, or any classification protected by federal, state, or local law.NO THIRD PARTIES ",https://job-openings.monster.com/data-scientist-suitland-md-us-eiden-systems-corporation/213788210,NA,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
