url,name,Organization,Subject,About this course,What you'll learn,Syllabus
https://www.edx.org/course/python-basics-for-data-science-3,Python Basics for Data Science,IBM,Data Analysis & Statistics,"This introduction to Python will kickstart your learning of Python for data science, as well as programming in general. This beginner-friendly Python course will take you from zero to programming in Python in a matter of hours.

Upon its completion, you'll be able to write your own Python scripts and perform basic hands-on data analysis using our Jupyter-based lab environment. If you want to learn Python from scratch, this course is for you.

You can start creating your own data science projects and collaborating with other data scientists using . When you sign up, you get free access to Watson Studio. Start now and take advantage of this platform.","The objectives of this course is to get you started with Python as the programming language and give you a taste of how to start working with data in Python.

In this course you will learn about:

What is Python and why is it useful","Module 1 - Python Basics
Your first program
Types
Expressions and Variables
String Operations


Lists and Tuples
Sets
Dictionaries


Conditions and Branching
Loops
Functions
Objects and Classes


Reading files with open
Writing files with open
Loading data with Pandas
Working with and Saving data with Pandas


Numpy 1d Arrays
Numpy 2d Arrays"
https://www.edx.org/course/introduction-to-data-science-4,Introduction to Data Science,Microsoft,Computer Science,"Learn what it takes to become a data scientist.
This is the first stop in the Data Science curriculum from Microsoft. It will help you get started with the program, plan your learning schedule, and connect with fellow students and teaching assistants. Along the way, you’ll get an introduction to working with and exploring data using a variety of visualization, analytical, and statistical techniques.

edX offers financial assistance for learners who want to earn Verified Certificates but who may not be able to pay the fee. To apply for financial assistance, enroll in the course, then follow to complete an application for assistance.","How the Microsoft Data Science curriculum works
How to navigate the curriculum and plan your course schedule
Basic data exploration and visualization techniques in Microsoft Excel
Foundational statistics that can be used to analyze data",
https://www.edx.org/course/data-science-and-machine-learning-capstone-project-2,Data Science and Machine Learning Capstone Project,IBM,Data Analysis & Statistics,"Employers really care about how well can you apply your knowledge and skills to solve real world problems. Now that you've taken several courses on Data Science and Machine Learning, its time to put your learning to practice and work on a data problem involving a real life scenario.

New Yorkers use 311 system to report complaints for the non-emergency problems they face. Various agencies in New York get assigned to these problems. The data related to these Complaints are available in New York City Open Dataset. On investigation one can see that in last few years the 311 complaints coming to The Department of Housing Preservation and Development in New York City has increased significantly.

In this Capstone project your task would be to find out answers to some questions that would help The Department of Housing Preservation and Development in New York City to effectively tackle 311 complaints coming to them. You need to use Python and Data Science and Machine Learning techniques such as Data Ingestion, Data Exploration, Data Visualization, Feature Engineering, Probabilistic Modeling, Model Validation, etc.

By the end of this course you will have used real world Data Science tools to create a showcase project and demostrate to employers that you are job ready and a worthy candidate in the field of Data Science.","Demonstrate knowledge of Data Science and Machine Learning
Apply Data Science process to a real life scenario
Explore New York City - 311 Complaints and Housing datasets
Analyze and Visualize data using Python
Perform feature engineering exercise using Python
Build and validate predictive machine learning model using Python",
https://www.edx.org/course/data-science-research-methods-python-edition-4,Data Science Research Methods: Python Edition,Microsoft,Data Analysis & Statistics,"Data scientists are often trained in the analysis of data. However, the goal of data science is to produce a good understanding of some problem or idea and build useful models on this understanding. Because of the principle of “garbage in, garbage out,” it is vital that a data scientist know how to evaluate the quality of information that comes into a data analysis. This is especially the case when data are collected specifically for some analysis (e.g., a survey).

In this course, you will learn the fundamentals of the research process—from developing a good question to designing good data collection strategies to putting results in context. Although a data scientist may often play a key part in data analysis, the entire research process must work cohesively for valid insights to be gleaned.

Developed as a powerful and flexible language used in everything from Data Science to cutting-edge and scalable Artificial Intelligence solutions, Python has become an essential tool for doing Data Science and Machine Learning. With this edition of Data Science Research Methods, all of the labs are done with Python, while the videos are language-agnostic. If you prefer your Data Science to be done with R, please see Data Science Research Methods: R Edition.

edX offers financial assistance for learners who want to earn Verified Certificates but who may not be able to pay the fee. To apply for financial assistance, enroll in the course, then follow to complete an application for assistance.","After completing this course, you will be familiar with the following concepts and techniques:
Data analysis and inference
Data science research design
Experimental data analysis and modeling","The Research Process
Planning for Analysis
Research Claims
Measurement
Correlational and Experimental Design
Note: This syllabus is preliminary and subject to change."
https://www.edx.org/course/data-science-research-methods-r-edition-5,Data Science Research Methods: R Edition,Microsoft,Data Analysis & Statistics,"Data scientists are often trained in the analysis of data. However, the goal of data science is to produce good understanding of some problem or idea and build useful models on this understanding. Because of the principle of “garbage in, garbage out,” it is vital that the data scientist know how to evaluate the quality of information that comes into a data analysis. This is especially the case when data are collected specifically for some analysis (e.g., a survey).

In this course, you will learn the fundamentals of the research process—from developing a good question to designing good data collection strategies to putting results in context. Although the data scientist may often play a key part in data analysis, the entire research process must work cohesively for valid insights to be gleaned.

Developed as a language with statistical analysis and modeling in mind, R has become an essential tool for doing real-world Data Science. With this edition of Data Science Research Methods, all of the labs are done with R, while the videos are tool-agnostic. If you prefer your Data Science to be done with Python, please see Data Science Research Methods: Python Edition.

edX offers financial assistance for learners who want to earn Verified Certificates but who may not be able to pay the fee. To apply for financial assistance, enroll in the course, then follow to complete an application for assistance.","After completing this course, you will be familiar with the following concepts and techniques:
Data analysis and inference
Data science research design
Experimental data analysis and modeling","The Research Process
Planning for Analysis
Research Claims
Measurement
Correlational and Experimental Design
Note: This syllabus is preliminary and subject to change."
https://www.edx.org/course/introduction-to-r-for-data-science-5,Introduction to R for Data Science,Microsoft,Computer Science,"R is rapidly becoming the leading language in data science and statistics. Today, R is the tool of choice for data science professionals in every industry and field. Whether you are full-time number cruncher, or just the occasional data analyst, R will suit your needs.
This introduction to R programming course will help you master the basics of R. In seven sections, you will cover its basic syntax, making you ready to undertake your own first data analysis using R. Starting from variables and basic operations, you will eventually learn how to handle data structures such as vectors, matrices, data frames and lists. In the final section, you will dive deeper into the graphical capabilities of R, and create your own stunning data visualizations. No prior knowledge in programming or data science is required.","Introductory R language fundamentals and basic syntax
What R is and how it’s used to perform data analysis
Become familiar with the major R data structures
Create your own visualizations using R","Section 1: Introduction to Basics
Take your first steps with R. Discover the basic data types in R and assign your first variable.

Section 2: Vectors
Analyze gambling behaviour using vectors. Create, name and select elements from vectors.


Learn how to work with matrices in R. Do basic computations with them and demonstrate your knowledge by analyzing the Star Wars box office figures.


R stores categorical data in factors. Learn how to create, subset and compare categorical data.


When working R, you’ll probably deal with Data Frames all the time. Therefore, you need to know how to create one, select the most interesting parts of it, and order them.


Lists allow you to store components of different types. Section 6 will show you how to deal with lists.


Discover R’s packages to do graphics and create your own data visualizations."
https://www.edx.org/course/introduction-to-python-for-data-science-4,Introduction to Python for Data Science,Microsoft,Computer Science,"Python is a very powerful programming language used for many different applications. Over time, the huge community around this open source language has created quite a few tools to efficiently work with Python. In recent years, a number of tools have been built specifically for data science. As a result, analyzing data with Python has never been easier.","Explore Python language fundamentals, including basic syntax, variables, and types
Create and manipulate regular Python lists
Use functions and import packages
Build Numpy arrays, and perform interesting calculations
Create and customize plots on real data","Section 1: Python Basics
Take your first steps in the world of Python. Discover the different data types and create your first variable.

Section 2: Python Lists
Get the know the first way to store many different data points under a single name. Create, subset and manipulate Lists in all sorts of ways.


Learn how to get the most out of other people's efforts by importing Python packages and calling functions.


Write superfast code with Numerical Python, a package to efficiently store and do calculations with huge amounts of data.


Create different types of visualizations depending on the message you want to convey. Learn how to build complex and customized plots based on real data.


Write conditional constructs to tweak the execution of your scripts and get to know the Pandas DataFrame: the key data structure for Data Science in Python."
https://www.edx.org/course/microsoft-professional-capstone-big-data-4,Microsoft Professional Capstone : Big Data,Microsoft,Computer Science,"The Microsoft Professional Program for Big Data is a comprehensive curriculum that teaches you how to build big data solutions.
In this capstone project, you will undertake challenges to design, implement, and document a big data solution based on what you have learned.",Apply the big data skills you have learned in the Microsoft Professional Program for Big Data to build a big data solution.,
https://www.edx.org/course/python-for-data-science-3,Python for Data Science,UCSanDiegoX,Data Analysis & Statistics,"In the information age, data is all around us. Within this data are answers to compelling questions across many societal domains (politics, business, science, etc.). But if you had access to a large dataset, would you be able to find the answers you seek?
This course, part of the Data Science MicroMasters program, will introduce you to a collection of powerful, open-source, tools needed to analyze data and to conduct data science. Specifically, you’ll learn how to use:","Basic process of data science
Python and Jupyter notebooks
An applied understanding of how to manipulate and analyze uncurated datasets
Basic statistical analysis and machine learning methods
How to effectively visualize results",
https://www.edx.org/course/iot-programming-and-big-data-2,IoT Programming and Big Data,CurtinX,Computer Science,"The Internet of Things is creating massive quantities of data, and managing and analysing it requires a unique approach to programming and statistics for distributed data sources.
This course will teach introductory programming concepts that allow connection to, and implementation of some functionality on, IoT devices, using the Python programming language. In addition, students will learn how to use Python to process text log files, such as those generated automatically by IoT sensors and other network-connected systems.","Appreciate the software needs of an IoT project
Understand how data is managed in an IoT network
Apply software solutions for different systems and Big Data to your IoT concept designs
Create Python scripts to manage large data files collected from sensor data and interact with the real world via actuators and other output devices.",
